id;node.type;node.name;short.definition;long.definition;solution.description
n022;solution;Forest;Replanting cropland with forests;Forest: Replanting cropland with forests;Increasing forest area
n022;solution;Forest;Replanting cropland with forests;Forest: Replanting cropland with forests;Replanting cropland with forests
n023;solution;Forest;Woodland presence;Forest: Woodland presence;Woodland presence
n024;solution;Infrastructure AE;Addition of flower strips (wild mixes, nectar and pollen-rich, annuals);Infrastructure AE: Addition of flower strips (wild mixes, nectar and pollen-rich, annuals);Add flower strips
n025;solution;Infrastructure AE;Addition of grass bordures (grass field/waterway margins, grass strips, grassland strips, managed grass strips);Infrastructure AE: Addition of grass bordures (grass field/waterway margins, grass strips, grassland strips, managed grass strips);Add grass strips
n025;solution;Infrastructure AE;Addition of grass bordures (grass field/waterway margins, grass strips, grassland strips, managed grass strips);Infrastructure AE: Addition of grass bordures (grass field/waterway margins, grass strips, grassland strips, managed grass strips);Increase of prairies
n026;solution;Infrastructure AE;Addition of wooded islands / hedges (forest, woodlands, edges, forest edges, hedgerows);Infrastructure AE: Addition of wooded islands / hedges (forest, woodlands, edges, forest edges, hedgerows);Woodland (SNE) presence (islands, edges)
n026;solution;Infrastructure AE;Addition of wooded islands / hedges (forest, woodlands, edges, forest edges, hedgerows);Infrastructure AE: Addition of wooded islands / hedges (forest, woodlands, edges, forest edges, hedgerows);Woodland (SNE) presence (edges)
n026;solution;Infrastructure AE;Addition of wooded islands / hedges (forest, woodlands, edges, forest edges, hedgerows);Infrastructure AE: Addition of wooded islands / hedges (forest, woodlands, edges, forest edges, hedgerows);Addition of woody plots
n027;solution;Infrastructure AE;Augment semi-natural elements (SNEs);Infrastructure AE: Augment semi-natural elements (SNEs);Increased Woodland (SNE), grassland, scarification of grass strips
n028;solution;Infrastructure AE;Develop hedges adjacent to agricultural plots;Infrastructure AE: Develop hedges adjacent to agricultural plots;Add hedges
n028;solution;Infrastructure AE;Develop hedges adjacent to agricultural plots;Infrastructure AE: Develop hedges adjacent to agricultural plots;Reduce erosion, stream loading of chemical / fertilizers applied to crops
n029;solution;Infrastructure AE;Increase landscape connectivity by adjusting the spatial configuration of SNH;Infrastructure AE: Increase landscape connectivity by adjusting the spatial configuration of SNH;Increased landscape connectivity
n030;solution;Infrastructure AE;Manipulation of the presence / proportion of SNHs;Infrastructure AE: Manipulation of the presence / proportion of SNHs;Increase of semi-natural habitat
n031;solution;Intermediate crops;Cover crops;Intermediate crops: Cover crops;Cover crops
n032;solution;Intermediate crops;Cover crops (generally for wheat);Intermediate crops: Cover crops (generally for wheat);Cover crops (generally for wheat)
n033;solution;Intermediate crops;Target cover crops;Intermediate crops: Target cover crops;Target cover crops
n034;solution;Livestock;Increased grazing / livestock presence;Livestock: Increased grazing / livestock presence;Grazing livestock, direct application of manure
n034;solution;Livestock;Increased grazing / livestock presence;Livestock: Increased grazing / livestock presence;Livestock influence on preservation of SNH
n034;solution;Livestock;Increased grazing / livestock presence;Livestock: Increased grazing / livestock presence;Livestock pressure on biodiversity
n034;solution;Livestock;Increased grazing / livestock presence;Livestock: Increased grazing / livestock presence;was Presence of livestock
n035;solution;Livestock;Integrated crop-livestock systems;Livestock: Integrated crop-livestock systems;Livestock-crop integration
n036;solution;Livestock;Manage ruminant intake to reduce H20 and CH4 emissions and excretions;Livestock: Manage ruminant intake to reduce H20 and CH4 emissions and excretions;Manage livestock feed to reduce manure & gas emissions
n037;solution;Livestock;Use of livestock manure;Livestock: Use of livestock manure;Use of livestock manure
n038;solution;Nitrogen addition;Increase biomass input through crop residues;Nitrogen addition: Increase biomass input through crop residues;Crop residue for biomass addn
n039;solution;Nitrogen addition;Increase the proportion of legumes in arable crops and temporary grassland;Nitrogen addition: Increase the proportion of legumes in arable crops and temporary grassland;Increase the proportion of legumes in arable crops and temporary grassland, in order to reduce N2O emissions
n040;solution;Nitrogen addition;Organic farming practices;Nitrogen addition: Organic farming practices;Multi-solution organic practices
n041;solution;Nitrogen addition;Reduce nitrate fertilization;Nitrogen addition: Reduce nitrate fertilization;Reduced fertiliser
n042;solution;Nitrogen addition;Reduce the dose of mineral fertilizer by better adjusting expectation of yield;Nitrogen addition: Reduce the dose of mineral fertilizer by better adjusting expectation of yield;Reduced fertiliser
n043;solution;Nitrogen addition;Reduce use of chemical nitrate fertilizers;Nitrogen addition: Reduce use of chemical nitrate fertilizers;Fertilization increases insect presence
n043;solution;Nitrogen addition;Reduce use of chemical nitrate fertilizers;Nitrogen addition: Reduce use of chemical nitrate fertilizers;Reduced fertiliser
n043;solution;Nitrogen addition;Reduce use of chemical nitrate fertilizers;Nitrogen addition: Reduce use of chemical nitrate fertilizers;Optimise fertilisation
n044;solution;Parcel size;Increased automation associated with large farms  causes more pollution;Parcel size: Increased automation associated with large farms  causes more pollution;0
n045;solution;Parcel size;Parcel shape;Parcel size: Parcel shape;Parcel shape
n046;solution;Parcel size;Reduce parcel size;Parcel size: Reduce parcel size;Bigger = more homogenous parcels, move towards heterogenous parcels
n046;solution;Parcel size;Reduce parcel size;Parcel size: Reduce parcel size;Increased diversity, edge effects
n046;solution;Parcel size;Reduce parcel size;Parcel size: Reduce parcel size;Labor
n046;solution;Parcel size;Reduce parcel size;Parcel size: Reduce parcel size;Increase parcel size (may require more tillage)
n046;solution;Parcel size;Reduce Parcel size;Parcel size: Reduce Parcel size;Reduce plot / parcel size
n047;solution;Parcel size;Reduce parcel size and increase complexity;Parcel size: Reduce parcel size and increase complexity;Addition of grass bordures (grass field/waterway margins, grass strips, grassland strips, managed grass strips)
n047;solution;Parcel size;Reduce parcel size and increase complexity;Parcel size: Reduce parcel size and increase complexity;Reduce plot size by introducing flower bands in the middle of large plots
n048;solution;Pesticide use;Reduce fungicide use (treating septoria of wheat and phoma of rapeseed only);Pesticide use: Reduce fungicide use (treating septoria of wheat and phoma of rapeseed only);Fewer fungicide application(s)
n049;solution;Pesticide use;Reduce herbicide use for selective weed management;Pesticide use: Reduce herbicide use for selective weed management;Short-term herbicide reductions can lead to drop in productivity
n049;solution;Pesticide use;Reduce herbicide use for selective weed management;Pesticide use: Reduce herbicide use for selective weed management;Reduce or eliminate herbicide use
n050;solution;Pesticide use;Reduce insecticide application around field edges;Pesticide use: Reduce insecticide application around field edges;Reduced pesticide use
n051;solution;Pesticide use;Reduce insecticide use;Pesticide use: Reduce insecticide use;Reduce insecticide use
n052;solution;Pesticide use;Reduce pesticide use;Pesticide use: Reduce pesticide use;Reduce pesticide use
n052;solution;Pesticide use;Reduce pesticide use;Pesticide use: Reduce pesticide use;Pest control application
n052;solution;Pesticide use;Reduce pesticide use;Pesticide use: Reduce pesticide use;Soil bacteria / microorganisms
n053;solution;Pesticide use;Stop herbicide use (no selective weed management);Pesticide use: Stop herbicide use (no selective weed management);Zero herbicide use
n054;solution;Prairies;Adding grasslands to Landscape (meadows, pastures, permanent grasslands, semi-natural grasslands);Prairies: Adding grasslands to Landscape (meadows, pastures, permanent grasslands, semi-natural grasslands);Increase of leys
n054;solution;Prairies;Adding grasslands to Landscape (meadows, pastures, permanent grasslands, semi-natural grasslands);Prairies: Adding grasslands to Landscape (meadows, pastures, permanent grasslands, semi-natural grasslands);Increase of prairies
n055;solution;Prairies;Prairie (vs cropland);Prairies: Prairie (vs cropland);Increase percentage of prairies
n055;solution;Prairies;Prairie (vs cropland);Prairies: Prairie (vs cropland);Increase of prairies
n056;solution;Varietal choice;Abundance of susceptible varietal year N;Varietal choice: Abundance of susceptible varietal year N;Increased Varietal diversity within Landscape (vulnerable vs tolerant)
n057;solution;Varietal choice;Abundance of susceptible varietal year N-1;Varietal choice: Abundance of susceptible varietal year N-1;Augmentation de Varietal diversity Paysage (sensible / résistant)
n057;solution;Varietal choice;Abundance of susceptible varietal year N-1;Varietal choice: Abundance of susceptible varietal year N-1;Increased diversity of varietals (resistant / not res.)
n058;solution;Varietal choice;Crop type has an influence on soil health;Varietal choice: Crop type has an influence on soil health;Crop type has an influence on soil health
n059;solution;Varietal choice;Distribution of the proportion of crops in each plot;Varietal choice: Distribution of the proportion of crops in each plot;Distribution of the proportion of crops in each plot
n060;solution;Varietal choice;Increase diversity of varietals (spatial diversity);Varietal choice: Increase diversity of varietals (spatial diversity);Augmentation de Varietal diversity Paysage 
n061;solution;Varietal choice;Mixed varietals;Varietal choice: Mixed varietals;Reduced pesticides
n062;solution;Varietal choice;Resistant varieties (use fewer pesticides / fungicides);Varietal choice: Resistant varieties (use fewer pesticides / fungicides);Reduced pesticides
n063;solution;Varietal choice;Target variety choice to reduce loss risk from disease AND for adaptivity to climate regime;Varietal choice: Target variety choice to reduce loss risk from disease AND for adaptivity to climate regime;Adapt varietal choice for conditions
n064;solution;Varietal choice;Varietal diversity / intra-plot genetics (varietal association);Varietal choice: Varietal diversity / intra-plot genetics (varietal association);Augmentation de Varietal diversity Paysage (sensible / résistant)
n065;solution;Working the soil;Conservation tillage;Working the soil: Conservation tillage;Reduced tillage, mulch
n065;solution;Working the soil;Conservation tillage;Working the soil: Conservation tillage;Conservation tillage
n065;solution;Working the soil;Conservation tillage;Working the soil: Conservation tillage;Reduced tillage linked to surface crusting, loss of loess
n065;solution;Working the soil;Conservation tillage;Working the soil: Conservation tillage;Promote conservation tillage (less often & less deep)
n066;solution;Working the soil;Reduced frequency of tillage;Working the soil: Reduced frequency of tillage;Reduced frequency of tillage
n067;solution;Working the soil;Reduced tillage;Working the soil: Reduced tillage;Labor
n067;solution;Working the soil;Reduced tillage;Working the soil: Reduced tillage;Reduction in work of soil = less crop protection, less direct destruction of pests / larvae
n067;solution;Working the soil;Reduced tillage;Working the soil: Reduced tillage;Reduced intensity of tillage
n068;solution;Working the soil;Reduced turnover increases disease risk;Working the soil: Reduced turnover increases disease risk;stop managing regrowth with soil working
